URL,Provenance,Page Type,Location,Service,Sector,Historic Source,Historic Intent,Title,H1,Meta Description,Content Status,Internal Links,Conversion Type,Schema,Canonical,Sitemap Group,Similarity Check,Business Claims Verified,Restoration Status
"/","LEGACY_VERIFIED","home","National","FM / M&E / Cleaning","Commercial","wix-generation-1; wix-generation-2","Homepage gateway for commercial property owners and facilities managers seeking an accountable national FM provider.","Entire FM | Total Facilities Management Services UK","Total Facilities Management & Engineering Precision","Entire FM delivers integrated Hard FM, Soft FM, mechanical & electrical engineering, scheduled PPM, and specialist facilities services across the UK.","COMPLETE","7 related links","Embedded RFQ + Phone CTA","Service","self","core","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/24-7-fm-support","LEGACY_VERIFIED","service","National","FM / M&E / Cleaning","Commercial","wix-generation-1","Commercial navigation or reference intent for Entire FM's 24 7 fm support.","24 7 Fm Support | Entire FM","24 7 Fm Support","Entire FM — 24 7 Fm Support. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","core","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/about-entire-facilities-management","LEGACY_VERIFIED","company","National","FM / M&E / Cleaning","Commercial","wix-generation-1; wix-generation-2","Commercial navigation or reference intent for Entire FM's about entire facilities management.","About Entire Facilities Management | Entire FM","About Entire Facilities Management","Entire FM — About Entire Facilities Management. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","company","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/accessibility-statement","LEGACY_VERIFIED","legal","National","FM / M&E / Cleaning","Commercial","wix-generation-2","Commercial navigation or reference intent for Entire FM's accessibility statement.","Accessibility Statement | Entire FM","Accessibility Statement","Entire FM — Accessibility Statement. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","core","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/aerial-drone-building-inspection","LEGACY_VERIFIED","service","National","FM / M&E / Cleaning","Commercial","wix-generation-1; wix-generation-2","Commercial navigation or reference intent for Entire FM's aerial drone building inspection.","Aerial Drone Building Inspection | Entire FM","Aerial Drone Building Inspection","Entire FM — Aerial Drone Building Inspection. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","hard-fm","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/airport-facilities-management","LEGACY_VERIFIED","sector","National","FM / M&E / Cleaning","Commercial","wix-generation-1; wix-generation-2","Sector-specific procurement intent from airport operations directors seeking experienced FM contractors.","Airport Facilities Management Solutions | Entire FM","Airport Facilities Management","Specialized facilities management for the airport sector — statutory compliance, asset uptime, M&E engineering, and cleaning.","COMPLETE","4 related links","Embedded RFQ + Phone CTA","Service","self","sectors","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/arena-facilities-management","LEGACY_VERIFIED","sector","National","FM / M&E / Cleaning","Commercial","wix-generation-1; wix-generation-2","Sector-specific procurement intent from arena operations directors seeking experienced FM contractors.","Arena Facilities Management Solutions | Entire FM","Arena Facilities Management","Specialized facilities management for the arena sector — statutory compliance, asset uptime, M&E engineering, and cleaning.","COMPLETE","4 related links","Embedded RFQ + Phone CTA","Service","self","sectors","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/best-facilities-management-company","LEGACY_VERIFIED","company","National","FM / M&E / Cleaning","Commercial","wix-generation-1","Commercial navigation or reference intent for Entire FM's best facilities management company.","Best Facilities Management Company | Entire FM","Best Facilities Management Company","Entire FM — Best Facilities Management Company. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","company","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/birmingham-facilities-management","LEGACY_PROTECTED_BY_DIRECTIVE","location","Birmingham","FM / M&E / Cleaning","Commercial","wix-generation-1; wix-generation-2","Regional commercial search intent for facilities management services in Birmingham and surrounding commercial corridors.","Birmingham Facilities Management | Commercial Property Maintenance | Entire FM","Birmingham Facilities Management & Building Maintenance","Entire FM provides dedicated facilities management across Birmingham — hard FM, M&E engineering, PPM, cleaning, and 24/7 reactive callout support.","COMPLETE","4 related links","Embedded RFQ + Phone CTA","LocalBusiness","self","locations","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/blog","LEGACY_VERIFIED","post","National","FM / M&E / Cleaning","Commercial","wix-generation-2","Informational search intent from property professionals researching FM industry best practices and compliance.","Blog | Facilities Management Insights | Entire FM","Blog","Read Entire FM’s comprehensive industry guide on blog for UK commercial property and estate managers.","COMPLETE","4 related links","Embedded RFQ + Phone CTA","Article","self","insights","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
