URL,Sector,Historic / Current / New,Indexable,Canonical,Primary Intent,Content Depth,Visual Quality,Proof Available,Related Services,Related Guides,Buyer Journey,CTA,Status,Recommended Action
/industrial-facilities-management,Industrial & Manufacturing,LEGACY_VERIFIED,true,self,industrial facilities management,DEEP,PREMIUM,YES - Anonymised Project,"M&E, PPM, HVAC, Industrial Cleaning",/resources/guides/ppm-guide,Sector -> PPM Tool -> Proposal,Discuss Your Industrial Estate,OPTIMISED,P0 Core Pillar
/commercial-facilities-management,Commercial Offices,LEGACY_VERIFIED,true,self,commercial facilities management,DEEP,PREMIUM,YES - Anonymised Project,"HVAC, M&E, Building Maintenance, Cleaning",/resources/guides/facilities-management-guide,Sector -> FM Tender -> Proposal,Discuss Commercial FM,OPTIMISED,P0 Core Pillar
/logistics-facilities-management,Logistics & Distribution,LEGACY_VERIFIED,true,self,logistics facilities management,DEEP,PREMIUM,YES - Anonymised Project,"Dock Levellers, High-Level, M&E, PPM",/resources/guides/asset-register-guide,Sector -> Health Check -> Proposal,Discuss Logistics FM,OPTIMISED,P0 Core Pillar
/retail-facilities-management,Retail & Shopping Centres,LEGACY_VERIFIED,true,self,retail facilities management,DEEP,PREMIUM,YES - Anonymised Project,"Multi-site PPM, HVAC, Electrical, Fabric",/resources/guides/fm-tender-guide,Sector -> Tender Brief -> Proposal,Discuss Retail Estate FM,OPTIMISED,P0 Core Pillar
/education-facilities-management,Education & Universities,LEGACY_VERIFIED,true,self,education facilities management,MODERATE,STANDARD,NO - Proof Gap,"PPM, Heating, Electrical, Water Hygiene",/compliance,Sector -> Compliance -> Proposal,Discuss Campus FM,P1_UPGRADE,Strengthen Term-time context
/healthcare-facilities-management,Healthcare Facilities,LEGACY_VERIFIED,true,self,healthcare facilities management,MODERATE,STANDARD,NO - Proof Gap,"M&E, PPM, HVAC, Water Hygiene",/compliance,Sector -> Compliance -> Proposal,Discuss Healthcare FM,P1_UPGRADE,Maintain conservative clinical boundaries
/hotel-facilities-management,Hotels & Hospitality,LEGACY_VERIFIED,true,self,hotel facilities management,MODERATE,STANDARD,NO - Proof Gap,"HVAC, Hot Water, M&E, Reactive",/resources/guides/ppm-guide,Sector -> PPM Tool -> Proposal,Discuss Hospitality FM,P1_UPGRADE,Focus on guest-facing reliability
/warehouse-facilities-management,Warehousing,LEGACY_VERIFIED,true,self,warehouse facilities management,DEEP,PREMIUM,YES - Anonymised Project,"High-Bay Lighting, Heating, Fabric, M&E",/resources/guides/asset-register-guide,Sector -> Health Check -> Proposal,Discuss Warehouse Maintenance,OPTIMISED,Connect to Logistics
/construction-facilities-management,Construction & Site Facilities,LEGACY_VERIFIED,true,self,construction facilities management,MODERATE,STANDARD,NO - Proof Gap,"Handover, Asset Tagging, Initial PPM",/resources/guides/asset-register-guide,Sector -> O&M Data -> Proposal,Discuss Handover FM,P2_MAINTAIN,Focus on post-completion handover
/arena-facilities-management,Arenas & Venues,LEGACY_VERIFIED,true,self,arena facilities management,MODERATE,STANDARD,NO - Proof Gap,"Event Standby, High-Load M&E, Cleaning",/resources/guides/ppm-guide,Sector -> PPM -> Proposal,Discuss Venue FM,P2_MAINTAIN,Focus on dark-period maintenance
/airport-facilities-management,Airport Commercial Facilities,LEGACY_VERIFIED,true,self,airport facilities management,MODERATE,STANDARD,NO - Proof Gap,"Landside Commercial, Offices, M&E",/resources/guides/facilities-management-guide,Sector -> Commercial -> Proposal,Discuss Airport Commercial FM,P2_MAINTAIN,Strict non-airside boundary
