Query Family,Intent,Primary URL,Supporting URLs,Historic Protected URLs,Content Type,Cannibalisation Risk,Search Evidence,Recommended Action
Facilities Management (Head),Commercial Head Term,/facilities-management,"/services, /about-entire-facilities-management","/facilities-management, /facilities-management-services",Core Service Anchor,LOW,GSC Top Category,"Maintain /facilities-management as head commercial anchor"
Hard FM & Specialist Engineering,Commercial Service,/hard-services,"/ppm, /mechanical-electrical, /hvac-contractor","/hard-services, /building-maintenance",Core Service Anchor,LOW,GSC Commercial Demand,"Preserve /hard-services with links into /ppm and /mechanical-electrical"
Soft FM & Hygiene,Commercial Service,/soft-services,"/commercial-cleaning, /industrial-cleaning, /caretaker","/soft-services, /cleaning-services",Core Service Anchor,LOW,GSC Commercial Demand,"Preserve /soft-services with links into cleaning specialisms"
Planned Preventative Maintenance (PPM) - Service,Commercial Provider,/ppm,"/tools/ppm-schedule-builder, /case-studies","/ppm",Core Service Anchor,LOW,High Search Demand,"Owns 'PPM contractor / planned maintenance services'"
Planned Preventative Maintenance (PPM) - Guide,Informational Guide,/resources/guides/ppm-guide,/compliance/fixed-wire-testing-eicr,,Evergreen Guide,LOW,High Educational Demand,"Owns 'what is PPM / PPM guide / planned maintenance explained'"
PPM Schedule Builder Tool,Interactive Utility,/tools/ppm-schedule-builder,/ppm,,Interactive Tool,LOW,Buyer Intent,"Generates tailored SFG20 PPM schedules"
Mechanical & Electrical Engineering,Commercial Service,/mechanical-electrical,"/compliance/fixed-wire-testing-eicr, /compliance/commercial-gas-safety","/mechanical-electrical",Core Service Anchor,LOW,GSC Commercial Demand,"Owns M&E contracting and building services"
HVAC & Air Conditioning,Commercial Service,/hvac-contractor,"/compliance/f-gas-regulations, /case-studies","/hvac-contractor",Core Service Anchor,LOW,GSC Commercial Demand,"Owns commercial HVAC and chiller maintenance"
Industrial Cleaning & Decontamination,Commercial Service,/industrial-cleaning,/case-studies,/industrial-cleaning,Core Service Anchor,LOW,GSC Commercial Demand,"Owns factory, plant and heavy industrial cleaning"
Commercial Cleaning & Workplace Hygiene,Commercial Service,/commercial-cleaning,/office-cleaning,/commercial-cleaning,Core Service Anchor,LOW,GSC Commercial Demand,"Owns commercial workplace and multi-site cleaning"
Statutory Compliance Centre,Informational / Regulatory,/compliance,"/compliance/fire-risk-assessment, /compliance/legionella-water-hygiene",/compliance,Compliance Hub,LOW,High Informational Authority,"Comprehensive regulatory guidance without legal liability"
FM Tender & Procurement Guide,Informational Procurement,/resources/guides/fm-tender-guide,/tools/tender-brief,,Evergreen Guide,LOW,Buyer Decision Journey,"Owns FM tender templates and RFP guidance"
FM Tender Brief Generator,Interactive Utility,/tools/tender-brief,/resources/guides/fm-tender-guide,,Interactive Tool,LOW,Buyer Procurement Tool,"Generates structured tender specifications"
Facilities Management Glossary,Definitional A-Z,/facilities-management-glossary,/resources/guides/ppm-guide,/facilities-management-glossary,Glossary Hub,LOW,Direct Answer Search,"Definitive industry definitions"
London FM (Head Authority),Head Geo Authority,/facilities-management-london,"/fm-london, /london-facilities-management",/facilities-management-london,Head Geo Authority,LOW,34k GSC Impressions,"Focus on City of London, out-of-hours windows and tall building plant"
London Commercial Outsourcing,Commercial Contract Geo,/fm-london,"/facilities-management-london, /london-facilities-management",/fm-london,Commercial Geo,LOW,34k GSC Impressions,"Focus on managing agents and multi-tenant consolidation"
London Estates & Districts,Regional Districts Geo,/london-facilities-management,"/facilities-management-london, /fm-london",/london-facilities-management,Regional Geo,LOW,34k GSC Impressions,"Focus on Canary Wharf, West End, and Park Royal"
Manchester FM (Head Authority),Head Geo Authority,/facilities-management-manchester,"/fm-manchester, /manchester-facilities-management",/facilities-management-manchester,Head Geo Authority,LOW,15k GSC Impressions,"Focus on city-centre offices and local operating conditions"
Manchester Commercial Maintenance,Commercial Contract Geo,/fm-manchester,"/facilities-management-manchester, /manchester-facilities-management",/fm-manchester,Commercial Geo,LOW,15k GSC Impressions,"Focus on commercial contract consolidation and SLAs"
Manchester Industrial & Corridors,Regional Corridors Geo,/manchester-facilities-management,"/facilities-management-manchester, /fm-manchester",/manchester-facilities-management,Regional Geo,LOW,15k GSC Impressions,"Focus on Trafford Park and M60/M62 logistics"
Birmingham FM (Head Authority),Head Geo Authority,/facilities-management-birmingham,"/fm-birmingham, /birmingham-facilities-management",/facilities-management-birmingham,Head Geo Authority,LOW,13k GSC Impressions,"Focus on Colmore Row financial district and commercial core"
Birmingham Commercial Outsourcing,Commercial Contract Geo,/fm-birmingham,"/facilities-management-birmingham, /birmingham-facilities-management",/fm-birmingham,Commercial Geo,LOW,13k GSC Impressions,"Focus on single-contract Hard & Soft FM delivery"
Birmingham Manufacturing & Logistics,Regional Logistics Geo,/birmingham-facilities-management,"/facilities-management-birmingham, /fm-birmingham",/birmingham-facilities-management,Regional Geo,LOW,13k GSC Impressions,"Focus on Aston, Minworth, and M6 corridor"
Leeds FM (Head Authority),Head Geo Authority,/facilities-management-leeds,"/fm-leeds, /leeds-facilities-management",/facilities-management-leeds,Head Geo Authority,LOW,8k GSC Impressions,"Focus on legal & financial corporate core"
Leeds Commercial Maintenance,Commercial Contract Geo,/fm-leeds,"/facilities-management-leeds, /leeds-facilities-management",/fm-leeds,Commercial Geo,LOW,8k GSC Impressions,"Focus on planned preventative maintenance schedules"
