Priority,URL,Page Type,Primary Query,Impressions,Clicks,Position,CTR,Commercial Relevance,Issue,Recommended Changes,Implemented
1,/facilities-management-london,Head Geo,facilities management london,34339,580,50.4,1.69%,HIGH,"High impression volume, low CTR on page 5",Strengthen local operating conditions / City of London focus in hero,YES
2,/ppm,Service,planned preventative maintenance / ppm contractor,18900,480,8.4,2.54%,VERY_HIGH,"Position 8.4 commercial query opportunity",Ensure prominent tool & quote pathways; strengthen SFG20 asset copy,YES
3,/compliance,Compliance Hub,statutory compliance facilities management,18200,680,7.4,3.74%,HIGH,Position 7.4 informational hub,Link directly into commercial Hard FM / M&E service regimes,YES
4,/resources/guides/ppm-guide,Guide,ppm guide / what is ppm,16400,620,6.2,3.78%,MEDIUM,Position 6.2 informational authority,Add direct quote callout & PPM Schedule Builder tool banner,YES
5,/facilities-management-manchester,Head Geo,facilities management manchester,15200,340,28.4,2.24%,HIGH,High demand North West query,Sharpen Trafford Park / Grade A office maintenance positioning,YES
6,/mechanical-electrical,Service,m&e contractor / mechanical electrical,14300,320,9.1,2.24%,VERY_HIGH,Position 9.1 commercial service query,Strengthen fixed wire testing & HVAC engineering integration,YES
7,/facilities-management-birmingham,Head Geo,facilities management birmingham,13100,270,29.8,2.06%,HIGH,High demand Midlands query,Sharpen Colmore Row & M6 logistics corridor focus,YES
8,/resources/guides/fm-tender-guide,Guide,fm tender guide / procurement,12800,490,5.8,3.83%,HIGH,Position 5.8 procurement intent,Prominently embed link to Tender Brief Generator tool,YES
9,/fm-london,Commercial Geo,fm london / commercial fm london,12400,260,18.2,2.10%,HIGH,Commercial outsourcing query,Differentiate with multi-site contract consolidation focus,YES
10,/hvac-contractor,Service,commercial hvac contractor / chillers,12100,290,7.8,2.40%,VERY_HIGH,Position 7.8 commercial contractor query,Strengthen F-Gas compliance & emergency chiller response,YES
11,/commercial-cleaning,Service,commercial cleaning services,11200,240,11.2,2.14%,HIGH,Position 11.2 commercial cleaning query,Highlight workplace hygiene & multi-site mobile teams,YES
12,/industrial-cleaning,Service,industrial cleaning services,9800,210,8.9,2.14%,VERY_HIGH,Position 8.9 industrial contractor query,Highlight ATEX / heavy plant / silo decontamination capabilities,YES
13,/fm-manchester,Commercial Geo,fm manchester / commercial maintenance,9100,190,16.5,2.09%,HIGH,Commercial contract consolidation query,Sharpen planned PPM and reactive triage dispatch focus,YES
14,/london-facilities-management,Regional Geo,london facilities management estates,8900,140,22.1,1.57%,HIGH,Estate-specific sub-district query,Detail EC2/EC3/E14 access and building stock specifics,YES
15,/facilities-management-leeds,Head Geo,facilities management leeds,8400,180,24.3,2.14%,HIGH,High demand Yorkshire query,Sharpen corporate legal & financial district maintenance focus,YES
16,/tools/tender-brief,Tool,fm tender brief generator,7400,310,7.1,4.19%,VERY_HIGH,Position 7.1 buyer procurement tool,Ensure instant export and direct enquiry flow,YES
17,/commercial-facilities-management,Sector,commercial facilities management,7200,160,14.1,2.22%,VERY_HIGH,Commercial office estate query,Detail multi-tenant common parts & tenant liaison,YES
18,/industrial-facilities-management,Sector,industrial facilities management,6800,150,12.4,2.21%,VERY_HIGH,Industrial plant FM query,Detail factory shutdowns / PPM / continuous manufacturing,YES
19,/logistics-facilities-management,Sector,logistics facilities management,5900,130,15.8,2.20%,VERY_HIGH,Distribution centre FM query,Detail high-bay docks / cold storage / 24/7 operations,YES
20,/retail-facilities-management,Sector,retail facilities management,5400,110,16.4,2.04%,HIGH,Retail & shopping centre query,Detail out-of-hours store maintenance & public safety,YES
