URL,Route Type,Historic / Protected / Current / New,Protected,Content Type,Primary Topic,Primary Intent,Indexable,HTTP Status,Canonical,Sitemap,Robots,Title,H1,Word Count,Internal Links In,Internal Links Out,Orphan Status,Status,Recommended Action
/,home,LEGACY_VERIFIED,true,Home,Facilities Management,facilities management uk,true,200,https://www.entirefm.com,core,index follow,EntireFM | Total Facilities Management & Specialist Engineering,Facilities Management Delivered Across the UK,1450,326,45,HEALTHY,STRONG,Maintain Core Anchor
/services,service,CURRENT_LIVE_RETAINED,true,Directory Hub,Services Gateway,facilities management services,true,200,https://www.entirefm.com/services,core,index follow,Facilities Management Services Directory | EntireFM,Facilities Management & Engineering Services,850,240,38,HEALTHY,STRONG,Maintain Directory
/sectors,sector,CURRENT_LIVE_RETAINED,true,Directory Hub,Sectors Gateway,facilities management by sector,true,200,https://www.entirefm.com/sectors,core,index follow,Facilities Management by Sector | EntireFM,Facilities Management Engineered for Your Estate,1120,210,32,HEALTHY,STRONG,Maintain Directory
/locations,location,CURRENT_LIVE_RETAINED,true,Directory Hub,Locations Gateway,facilities management locations uk,true,200,https://www.entirefm.com/locations,core,index follow,National Coverage & Locations | EntireFM,Facilities Management Across the UK,980,260,42,HEALTHY,STRONG,Maintain Directory
/ppm,service,LEGACY_VERIFIED,true,Core Service,Planned Maintenance,planned preventative maintenance,true,200,https://www.entirefm.com/ppm,core,index follow,Planned Preventative Maintenance (PPM) Services | EntireFM,Planned Preventative Maintenance (PPM) Schedules,1850,180,28,HEALTHY,STRONG,Commercial Service Anchor
/mechanical-electrical,service,LEGACY_VERIFIED,true,Core Service,M&E Engineering,mechanical and electrical maintenance,true,200,https://www.entirefm.com/mechanical-electrical,core,index follow,Mechanical & Electrical (M&E) Maintenance Services | EntireFM,Mechanical & Electrical Building Maintenance,1920,165,26,HEALTHY,STRONG,Commercial Service Anchor
/hvac-contractor,service,LEGACY_VERIFIED,true,Core Service,HVAC,commercial hvac contractor,true,200,https://www.entirefm.com/hvac-contractor,core,index follow,Commercial HVAC Contractor & Air Conditioning Maintenance | EntireFM,Commercial HVAC Contractor Services,1780,150,25,HEALTHY,STRONG,Commercial Service Anchor
/industrial-cleaning,service,LEGACY_VERIFIED,true,Core Service,Industrial Cleaning,industrial cleaning contractor,true,200,https://www.entirefm.com/industrial-cleaning,core,index follow,Industrial Cleaning Services | Factory & Plant Hygiene | EntireFM,Industrial Cleaning & Factory Decontamination,1640,140,24,HEALTHY,STRONG,Commercial Service Anchor
/commercial-cleaning,service,LEGACY_VERIFIED,true,Core Service,Commercial Cleaning,commercial cleaning services,true,200,https://www.entirefm.com/commercial-cleaning,core,index follow,Commercial Cleaning Services | Workplace Hygiene | EntireFM,Commercial Cleaning Services,1520,135,22,HEALTHY,STRONG,Commercial Service Anchor
/facilities-management-london,location,LEGACY_VERIFIED,true,Head Geo,London FM,facilities management london,true,200,https://www.entirefm.com/facilities-management-london,locations,index follow,Facilities Management London | EntireFM,Facilities Management London,1650,95,30,HEALTHY,STRONG,Differentiated Head Query
/fm-london,location,LEGACY_VERIFIED,true,Commercial Geo,London Contract FM,fm london / contract fm,true,200,https://www.entirefm.com/fm-london,locations,index follow,Commercial FM London | EntireFM,Commercial Facilities Management London,1580,85,28,HEALTHY,STRONG,Differentiated Commercial Query
/london-facilities-management,location,LEGACY_VERIFIED,true,Regional Geo,London Estates,london facilities management estates,true,200,https://www.entirefm.com/london-facilities-management,locations,index follow,London Facilities Management & Districts | EntireFM,London Facilities Management Operations,1610,80,26,HEALTHY,STRONG,Differentiated Estate Query
/facilities-management-manchester,location,LEGACY_VERIFIED,true,Head Geo,Manchester FM,facilities management manchester,true,200,https://www.entirefm.com/facilities-management-manchester,locations,index follow,Facilities Management Manchester | EntireFM,Facilities Management Manchester,1590,90,29,HEALTHY,STRONG,Differentiated Head Query
/fm-manchester,location,LEGACY_VERIFIED,true,Commercial Geo,Manchester Contract FM,fm manchester / commercial maintenance,true,200,https://www.entirefm.com/fm-manchester,locations,index follow,Commercial FM Manchester | EntireFM,Commercial Facilities Management Manchester,1540,82,27,HEALTHY,STRONG,Differentiated Commercial Query
/manchester-facilities-management,location,LEGACY_VERIFIED,true,Regional Geo,Manchester Corridors,manchester facilities management provider,true,200,https://www.entirefm.com/manchester-facilities-management,locations,index follow,Manchester Facilities Management & Industrial Corridors | EntireFM,Manchester Facilities Management Operations,1570,78,25,HEALTHY,STRONG,Differentiated Industrial Query
/industrial-facilities-management,sector,LEGACY_VERIFIED,true,Sector,Industrial & Manufacturing,industrial facilities management,true,200,https://www.entirefm.com/industrial-facilities-management,sectors,index follow,Industrial Facilities Management | Factory & Plant Maintenance | EntireFM,Industrial Facilities Management & Manufacturing Plant Maintenance,1820,110,24,HEALTHY,STRONG,Differentiated Sector Blueprint
