Path,Service Name,Template,Unique Interactive Feature,Hero Image,Visual Capabilities Count,Supported Assets Count,Statutory Governance,Conversion CTA,Audit Status
/mechanical-electrical,Mechanical & Electrical (M&E) Engineering,ServiceMechanicalElectrical,Building Systems Map (6 Systems),entirefm-switchgear-inspection-2000w.webp,6,15,BS 7671 / BS 5266 / Gas Safety,Discuss Your M&E Requirement,PASS
/hvac-contractor,Commercial HVAC Contractor,ServiceHvac,Plant to Occupant Comfort Journey (5 Stages),entirefm-hvac-rooftop-condensers-2560w.webp,6,15,F-Gas / TM44 / BESA DW144,Arrange an HVAC Site Review,PASS
/ppm,Planned Preventative Maintenance (PPM),ServicePpm,7-Stage Maintenance Cycle Timeline,entirefm-client-review-2000w.webp,6,15,SFG20 / L8 ACoP / BS 5839,Review Your Maintenance Programme,PASS
/industrial-cleaning,Industrial Cleaning Services,ServiceIndustrialCleaning,Industrial Environments Gallery (6 Environments),entirefm-external-distribution-dusk-2000w.webp,6,15,RAMS / COSHH / IPAF 3a/3b,Request an Industrial Cleaning Survey,PASS
/hard-services,Hard Facilities Management Services,TemplateCoreService,Technical Scope & SFG20 Delivery,entirefm-switchgear-inspection-2000w.webp,4,15,SFG20 / BS 7671,Request a Hard FM Proposal,PASS
/soft-services,Soft Facilities Management Services,TemplateSpecialistService,Specialist Operational Delivery,entirefm-external-distribution-dusk-2000w.webp,4,15,COSHH / HSE Standards,Request a Soft Services Proposal,PASS
/cleaning-services,Commercial Cleaning Services,TemplateSpecialistService,Commercial Hygiene & Scope,entirefm-external-distribution-dusk-2000w.webp,4,15,COSHH / BICS Standards,Request a Cleaning Proposal,PASS
/contract-cleaning,Contract Commercial Cleaning,TemplateSpecialistService,Scheduled Office & Commercial Cleaning,entirefm-external-distribution-dusk-2000w.webp,4,15,COSHH / RAMS Standards,Request a Contract Cleaning Proposal,PASS
/office-cleaning,Office Cleaning Services,TemplateSpecialistService,Daily Office Hygiene & Daytime Janitorial,entirefm-external-distribution-dusk-2000w.webp,4,15,COSHH / Workplace Standards,Request an Office Cleaning Proposal,PASS
/retail-cleaning,Retail & Shopping Centre Cleaning,TemplateSpecialistService,High-Footfall Retail Hygiene,entirefm-external-distribution-dusk-2000w.webp,4,15,COSHH / Public Safety,Request a Retail Cleaning Proposal,PASS
/education-cleaning,Education & School Cleaning Services,TemplateSpecialistService,Campus & Classroom Sanitisation,entirefm-external-distribution-dusk-2000w.webp,4,15,COSHH / DBS Vetting / HSE,Request an Education Cleaning Proposal,PASS
/medical-cleaning,Healthcare & Medical Cleaning,TemplateSpecialistService,Clinical Decontamination & Infection Control,entirefm-external-distribution-dusk-2000w.webp,4,15,CQC / NHS Hygiene Standards,Request a Medical Cleaning Proposal,PASS
/internal-cleaning,Internal Commercial Building Cleaning,TemplateSpecialistService,Interior Fabric & Floor Care,entirefm-external-distribution-dusk-2000w.webp,4,15,COSHH / Environmental Safety,Request an Internal Cleaning Proposal,PASS
/residential-cleaning,Residential Block & Communal Cleaning,TemplateSpecialistService,Communal Area & Block Management,entirefm-external-distribution-dusk-2000w.webp,4,15,COSHH / Block Standards,Request a Residential Cleaning Proposal,PASS
/reactive-cleaning-services,Reactive & Emergency Cleaning,TemplateSpecialistService,24/7 Rapid Incident Clean-up,entirefm-external-distribution-dusk-2000w.webp,4,15,COSHH / Biohazard Safety,Request an Emergency Cleaning Callout,PASS
/pressure-washing,Commercial Pressure Washing,TemplateSpecialistService,Hot-Water Rotary Surface Cleaning,entirefm-external-distribution-dusk-2000w.webp,4,15,Environmental Drainage / RAMS,Request a Pressure Washing Quote,PASS
/window-cleaning,Commercial Window Cleaning,TemplateSpecialistService,Reach-and-Wash & Abseil Cleaning,entirefm-external-distribution-dusk-2000w.webp,4,15,Working at Height Regulations / IPAF,Request a Window Cleaning Quote,PASS
/working-at-heights,Working at Heights Specialist Services,TemplateSpecialistService,High-Reach Access & Safety Rigging,entirefm-rooftop-plant-night-2000w.webp,4,15,WAHR 2005 / IPAF / IRATA,Request a Heights Assessment,PASS
/mobile-crane-hire,Mobile Crane & Access Hire,TemplateSpecialistService,Contract Lift & Crane Hire,entirefm-external-distribution-dusk-2000w.webp,4,15,LOLER / BS 7121 / CPA Rules,Request a Crane Hire Quotation,PASS
/bocker-crane-hire,Bocker Crane Hire Services,TemplateSpecialistService,Compact Aluminium Crane Deployment,entirefm-external-distribution-dusk-2000w.webp,4,15,LOLER 1998 / CPA Standards,Request a Bocker Crane Quote,PASS
/plumbing-gas,Commercial Plumbing & Gas Engineering,TemplateCoreService,Gas Plant & Booster Sets,entirefm-hvac-plantroom-pumps-2000w.webp,4,15,Gas Safe / L8 ACoP Legionella,Request a Plumbing & Gas Proposal,PASS
/building-maintenance,Commercial Building Maintenance,TemplateCoreService,Total Building Fabric & Plant Care,entirefm-switchgear-inspection-2000w.webp,4,15,SFG20 / Building Regulations,Request a Maintenance Proposal,PASS
/building-inspecting-testing,Building Inspection & Testing,TemplateCoreService,Statutory Inspection & EICR Audits,entirefm-switchgear-inspection-2000w.webp,4,15,BS 7671 / Statutory Legislation,Request an Inspection Proposal,PASS
/fire-emergency-systems,Fire Alarm & Emergency Systems,TemplateCoreService,Life Safety & Smoke Ventilation,entirefm-distribution-board-testing-2000w.webp,4,15,BS 5839 / BS 5266 / Regulatory Reform,Request a Fire Systems Proposal,PASS
/safety-critical-emergency-systems,Safety Critical Emergency Systems,TemplateCoreService,Critical Plant & Standby Power,entirefm-distribution-board-testing-2000w.webp,4,15,BS 5266 / Statutory Safety,Request a Safety Systems Proposal,PASS
/gates-barriers,Automated Gates & Vehicle Barriers,TemplateCoreService,Perimeter Automation & Access,entirefm-access-control-install-2000w.webp,4,15,DHF / BS EN 12453 Safety,Request a Gate & Barrier Proposal,PASS
/carpark-management,Commercial Car Park Management,TemplateCoreService,Barrier Controls & EV Infrastructure,entirefm-ev-charging-2000w.webp,4,15,BPA / British Parking Standards,Request a Car Park Proposal,PASS
/concierge-services,Concierge & Front of House Services,TemplateCoreService,Corporate Reception & Security,entirefm-reception-2000w.webp,4,15,SIA / Corporate Hospitality,Request a Concierge Proposal,PASS
/caretaker,Caretaking & Facilities Support,TemplateCoreService,On-Site Handyman & Property Care,entirefm-engineers-office-testing-2000w.webp,4,15,HSE / Workplace Regulations,Request a Caretaker Proposal,PASS
/grounds-maintenance,Commercial Grounds Maintenance,TemplateCoreService,Estate Landscaping & Weed Control,entirefm-external-distribution-dusk-2000w.webp,4,15,Environmental Protection / NPTC,Request a Grounds Proposal,PASS
/landscaping,Commercial Landscaping Services,TemplateCoreService,Exterior Grounds & Planting Schemes,entirefm-external-distribution-dusk-2000w.webp,4,15,BALI / British Standards,Request a Landscaping Proposal,PASS
/washroom-management,Commercial Washroom Services,TemplateCoreService,Hygiene Services & Sanitary Management,entirefm-external-distribution-dusk-2000w.webp,4,15,Environmental Protection Act,Request a Washroom Proposal,PASS
/media-digital-displays,Media & Digital Signage Services,TemplateCoreService,Commercial Display Networks,entirefm-access-control-install-2000w.webp,4,15,BS 7671 / AV Standards,Request a Media Display Proposal,PASS
/24-7-fm-support,24/7 Facilities Management Support,TemplateCoreService,Round-the-Clock Helpdesk Triage,entirefm-client-review-2000w.webp,4,15,ISO 9001 / SLA Governance,Request 24/7 FM Support,PASS
/fm-technical-services,FM Technical Engineering Services,TemplateCoreService,Multi-Discipline Engineering,entirefm-switchgear-inspection-2000w.webp,4,15,SFG20 / BS 7671 / BESA,Request a Technical Services Proposal,PASS
/facilities-management-services,Complete Facilities Management Services,TemplateCoreService,Integrated Hard & Soft FM,entirefm-hero-headquarters-2560w.webp,4,15,IWFM / ISO 41001 / SFG20,Request an Integrated FM Proposal,PASS
