Target URL,Page Title,Action,Preserve Content,Improve Content,Merge Content,Remove Content,Add New Content
/,Homepage,MERGE,"Company founding story (est. 2009), core service breadth, geographic presence","Hero headline clarity, commercial value proposition, mobile layout polish","Combine Wix commercial service grid with Antigravity modern visual styling","Generic marketing fluff, vague unmeasurable promises, low-res images","Interactive PPM calculator embed, EntireCAFM dashboard preview, verified accreditation badges"
/facilities-management-services,Facilities Management Services,IMPROVE,"Comprehensive Hard + Soft FM capability breakdown","Service categorization, technical compliance callouts (SFG20, BESA, Gas Safe)","Merge G1 broad service list with G3 structured taxonomy","Outdated pricing references, broken legacy widgets","Self-delivery assurance, SLA response commitments, multi-site contract scope"
/mechanical-electrical,Mechanical & Electrical (M&E) Services,IMPROVE,"Core electrical testing, power distribution, and plant room maintenance scope","Technical engineering authority, CIBSE/NICEIC compliance descriptions","Merge G1/G2 M&E technical data with G3 clean component structure","Duplicate text from generic hard services page","Access control & emergency lighting sub-scopes, SFG20 asset register checklists"
/hvac-contractor,Commercial HVAC & Ventilation Contractor,IMPROVE,"Air conditioning maintenance, chiller plant servicing, ventilation systems","F-Gas compliance regulations, TM44 inspection explanations","Merge G1 HVAC contractor copy with modern commercial HVAC engineering scope","Generic domestic AC references","Heat pump & VRF energy efficiency optimization, BESA DW/144 ductwork compliance"
/ppm,Planned Preventative Maintenance (PPM),IMPROVE,"SFG20 maintenance scheduling principles, asset lifecycle preservation benefits","Operational ROI calculation, statutory compliance protection breakdown","Merge G1 PPM service points with G3 interactive tool ecosystem","Vague maintenance promises","Live embed of PPM Schedule Builder, asset tagging workflow with EntireCAFM"
/hard-services,Hard Facilities Management Services,IMPROVE,"Integrated hard FM scope covering building fabric, M&E, gas, and plumbing","Single-source contractor benefits, risk mitigation for property owners","Merge G1 and G2 hard services definitions into unified authority page","Redundant duplicate paragraphs shared with /mechanical-electrical","Statutory compliance audit guide, reactive emergency SLA guarantees"
/soft-services,Soft Facilities Management Services,IMPROVE,"Comprehensive soft services scope (cleaning, security, grounds, concierge)","Integrated soft FM procurement advantages, staffing standards (DBS checked)","Merge G1 cleaning and specialist services into unified soft FM hub","Discontinued minor niche services","Eco-friendly cleaning protocols, SIA licensed guarding standards"
/industrial-cleaning,Industrial Cleaning Services UK,IMPROVE,"Factory degreasing, warehouse floor scrubbing, high-level structural cleaning","COSHH health and safety compliance, industrial equipment descriptions","Merge G1 heavy cleaning techniques with G3 modern layouts","Domestic cleaning references","Case studies from manufacturing plants, specialized industrial machinery specs"
/cleaning-services,Commercial Contract Cleaning Services,IMPROVE,"Daily office cleaning, retail park sanitation, washroom hygiene maintenance","Quality control auditing processes, colour-coded cross-contamination prevention","Merge G1 commercial cleaning pages with modern contract standards","Generic cleaning clichés","KPI service level tracking via EntireCAFM, green chemical credentials"
/plumbing-gas,Commercial Plumbing & Gas Safe Services,IMPROVE,"Gas boiler servicing, water hygiene, commercial pipework maintenance","Gas Safe compliance, WRAS regulations, L8 Legionella prevention protocols","Merge G1 plumbing/gas data with hard services compliance framework","Domestic boiler references","Commercial plant room boiler overhaul procedures, emergency leak response"
/fire-emergency-systems,Fire & Safety Critical Emergency Systems,MERGE,"Fire alarm testing, emergency lighting testing, life safety compliance","BS 5839 and BS 5266 legal mandates, Building Safety Act considerations","Merge G1 /fire-emergency-systems with G2 /safety-critical-emergency-systems","Outdated regulatory references","Digital compliance certificate vault explanation, 24/7 monitoring integration"
/aerial-drone-building-inspection,Aerial Drone Building Surveys & Inspection,IMPROVE,"4K high-resolution and thermal roof surveys, high-level facade inspections","Cost savings vs scaffolding, CAA commercial operator compliance","Merge G1 drone inspection data with modern thermal imaging applications","Unclear drone capability specs","Sample thermal leak detection images, roof condition report breakdown"
/facilities-management-london,Facilities Management London (Primary Hub),IMPROVE,"Greater London commercial property management, Zone 1-6 and M25 coverage","Estate management proposition, ULEZ compliant fleet logistics, out-of-hours protocols","Merge G1 London estate management copy with G3 high-performing London layout","Repeated generic text","Canary Wharf and City commercial case studies, verified London contact details"
/london-facilities-management,London Facilities Management Company (Corporate),IMPROVE,"Corporate office FM, procurement standards, managing agent support","Tier-one supplier governance, ESG sustainable building management","Merge G1/G2 corporate London positioning into dedicated procurement asset","Redundant text identical to primary London page","Corporate tender questionnaire support, multi-tenant building cost allocation"
/fm-london,Rapid Response FM & Emergency Maintenance London,IMPROVE,"24/7 mobile engineering vans, 2-hour Central London emergency call-out SLA","Emergency plant room repairs, reactive M&E dispatch protocols","Merge G1 emergency support data with G3 live /fm-london speed and structure","Excessive long-form text that hinders fast mobile conversion","Direct click-to-call emergency dispatch button, live response SLA guarantee"
/facilities-management-manchester,Facilities Management Manchester,IMPROVE,"Greater Manchester commercial, retail, and industrial estate maintenance","Regional logistics and industrial hub support (Trafford Park, Salford)","Merge G1 and G2 Manchester location pages into high-authority regional asset","Generic copy copied from London page","North West engineering team presence, local client references"
/facilities-management-birmingham,Facilities Management Birmingham & Midlands,IMPROVE,"West Midlands commercial, automotive, and industrial property management","Regional coverage across Birmingham city centre, Solihull, and Black Country","Merge G1 Birmingham content with Midlands regional authority messaging","Vague geographic claims","Midlands transport corridor logistics support, local engineering hub proof"
/facilities-management-lincoln,Facilities Management Lincoln (Historic Base),IMPROVE,"Full-scope Lincolnshire commercial, agricultural, and industrial FM","Deep local heritage and established operational presence since 2009","Merge G1 Lincoln comprehensive content with modern service structure","Outdated branch details","Lincolnshire regional case studies, dedicated local support desk"
/fm-sheffield,Facilities Management Sheffield,IMPROVE,"South Yorkshire manufacturing, steel corridor, and commercial property maintenance","Heavy industrial plant servicing, Sheffield city centre office care","Merge G1 Sheffield data with G2 crane hire and heavy engineering capabilities","Thin boilerplate text","South Yorkshire engineering fleet dispatch, local response times"
/industrial-facilities-management,Industrial & Manufacturing Facilities Management,IMPROVE,"Factory maintenance, production line environmental care, heavy M&E","ATEX compliance, machine downtime prevention, industrial waste management","Merge G1 industrial sector copy with modern manufacturing standards","Generic office FM points","Case study: Heavy engineering plant infrastructure overhaul"
/commercial-facilities-management,Commercial Offices & Corporate FM,IMPROVE,"Grade-A corporate office FM, workplace comfort, statutory compliance","Tenant satisfaction, indoor air quality (IAQ), energy reduction initiatives","Merge G1 commercial sector data with G3 corporate asset structure","Unrealistic corporate claims","BREEAM & ESG maintenance alignment, smart CAFM reporting"
/logistics-facilities-management,Logistics & Distribution Facilities Management,IMPROVE,"24/7 distribution centre maintenance, dock levellers, industrial scrubbing","High-bay lighting, fast reactive roller shutter repair protocols","Merge G1 logistics data with G2 warehouse FM additions","Generic storage points","3PL nationwide estate case study, automated floor maintenance schedules"
/entirecafm,EntireCAFM Client Portal & Technology Platform,IMPROVE,"Live asset tracking, digital work orders, compliance certificate storage","Mobile engineer app integration, real-time KPI reporting for estate directors","Merge current G3 product overview with tangible client workflow screenshots","Tech-buzzword jargon with no operational meaning","Interactive CAFM feature tour, client login demo video preview"
/what-is-facilities-management,What Is Facilities Management? (Complete Guide),IMPROVE,"Comprehensive definition of FM, differences between Hard FM and Soft FM","Statutory compliance responsibilities of building owners, Total FM benefits","Merge G1 educational guide with updated 2026 UK statutory regulations","Shallow dictionary definitions","SFG20 maintenance schedule checklist, downloadable FM procurement guide"
