currentPath,currentUrl,migrationDecision,targetDestination,rationale
"/","https://www.entirefm.com/","KEEP_200","/","Path matches registered 200 route"
"/about","https://www.entirefm.com/about","301_TO_HISTORIC","/about-entire-facilities-management","Semantic intent consolidation into protected historic page"
"/academy","https://www.entirefm.com/academy","301_TO_HISTORIC","/","General legacy redirect to homepage"
"/academy/drone-inspection-guide","https://www.entirefm.com/academy/drone-inspection-guide","301_TO_HISTORIC","/","Consolidation of legacy programmatic experiment to homepage"
"/academy/fire-safety-compliance","https://www.entirefm.com/academy/fire-safety-compliance","301_TO_HISTORIC","/","Consolidation of legacy programmatic experiment to homepage"
"/academy/legionella-water-safety","https://www.entirefm.com/academy/legionella-water-safety","301_TO_HISTORIC","/","Consolidation of legacy programmatic experiment to homepage"
"/academy/multi-site-fm-management","https://www.entirefm.com/academy/multi-site-fm-management","301_TO_HISTORIC","/","Consolidation of legacy programmatic experiment to homepage"
"/academy/understanding-ppm","https://www.entirefm.com/academy/understanding-ppm","301_TO_HISTORIC","/","Consolidation of legacy programmatic experiment to homepage"
"/aerial-drone-building-inspection","https://www.entirefm.com/aerial-drone-building-inspection","KEEP_200","/aerial-drone-building-inspection","Path matches registered 200 route"
"/airport-facilities-management","https://www.entirefm.com/airport-facilities-management","KEEP_200","/airport-facilities-management","Path matches registered 200 route"
"/arena-facilities-management","https://www.entirefm.com/arena-facilities-management","KEEP_200","/arena-facilities-management","Path matches registered 200 route"
"/awards","https://www.entirefm.com/awards","301_TO_HISTORIC","/","General legacy redirect to homepage"
"/blog","https://www.entirefm.com/blog","KEEP_200","/blog","Path matches registered 200 route"
"/building-walk","https://www.entirefm.com/building-walk","301_TO_HISTORIC","/","General legacy redirect to homepage"
"/building-walk/hotel-fm-guest-experience","https://www.entirefm.com/building-walk/hotel-fm-guest-experience","301_TO_HISTORIC","/","Consolidation of legacy programmatic experiment to homepage"
"/building-walk/industrial-cleaning-before-after","https://www.entirefm.com/building-walk/industrial-cleaning-before-after","301_TO_HISTORIC","/","Consolidation of legacy programmatic experiment to homepage"
"/building-walk/office-building-fm-walkthrough","https://www.entirefm.com/building-walk/office-building-fm-walkthrough","301_TO_HISTORIC","/","Consolidation of legacy programmatic experiment to homepage"
"/building-walk/residential-block-fm-issues","https://www.entirefm.com/building-walk/residential-block-fm-issues","301_TO_HISTORIC","/","Consolidation of legacy programmatic experiment to homepage"
"/building-walk/retail-unit-compliance-walkthrough","https://www.entirefm.com/building-walk/retail-unit-compliance-walkthrough","301_TO_HISTORIC","/","Consolidation of legacy programmatic experiment to homepage"
"/careers","https://www.entirefm.com/careers","301_TO_HISTORIC","/job-board","Semantic intent consolidation into protected historic page"
"/case-studies","https://www.entirefm.com/case-studies","301_TO_HISTORIC","/case-studies","Semantic intent consolidation into protected historic page"
"/case-studies/aviation","https://www.entirefm.com/case-studies/aviation","301_TO_HISTORIC","/case-studies","Consolidation to case studies portfolio hub"
"/case-studies/corporate","https://www.entirefm.com/case-studies/corporate","301_TO_HISTORIC","/case-studies","Consolidation to case studies portfolio hub"
