Exact Source URL,HTTP Status,Title,H1,Primary Intent,Content Type,Historic Equivalent,Final Action,Destination,Why,Human Review Required
/,200,,,home,home,/,KEEP_200,/,Registered 200 route — canonical final destination,NO
/24-7-fm-support,200,,,service,service,/24-7-fm-support,KEEP_200,/24-7-fm-support,Registered 200 route — canonical final destination,NO
/about-entire-facilities-management,200,,,company,company,/about-entire-facilities-management,KEEP_200,/about-entire-facilities-management,Registered 200 route — canonical final destination,NO
/accessibility-statement,200,,,legal,legal,/accessibility-statement,KEEP_200,/accessibility-statement,Registered 200 route — canonical final destination,NO
/aerial-drone-building-inspection,200,,,service,service,/aerial-drone-building-inspection,KEEP_200,/aerial-drone-building-inspection,Registered 200 route — canonical final destination,NO
/airport-facilities-management,200,,,sector,sector,/airport-facilities-management,KEEP_200,/airport-facilities-management,Registered 200 route — canonical final destination,NO
/arena-facilities-management,200,,,sector,sector,/arena-facilities-management,KEEP_200,/arena-facilities-management,Registered 200 route — canonical final destination,NO
/best-facilities-management-company,200,,,company,company,/best-facilities-management-company,KEEP_200,/best-facilities-management-company,Registered 200 route — canonical final destination,NO
/birmingham-facilities-management,200,,,location,location,/birmingham-facilities-management,KEEP_200,/birmingham-facilities-management,Registered 200 route — canonical final destination,NO
/blog,200,,,post,post,/blog,KEEP_200,/blog,Registered 200 route — canonical final destination,NO
/bocker-crane-hire,200,,,service,service,/bocker-crane-hire,KEEP_200,/bocker-crane-hire,Registered 200 route — canonical final destination,NO
/bolton-facilities-management,200,,,location,location,/bolton-facilities-management,KEEP_200,/bolton-facilities-management,Registered 200 route — canonical final destination,NO
/bradford-facilities-management,200,,,location,location,/bradford-facilities-management,KEEP_200,/bradford-facilities-management,Registered 200 route — canonical final destination,NO
/building-inspecting-testing,200,,,service,service,/building-inspecting-testing,KEEP_200,/building-inspecting-testing,Registered 200 route — canonical final destination,NO
/building-maintenance,200,,,service,service,/building-maintenance,KEEP_200,/building-maintenance,Registered 200 route — canonical final destination,NO
