Search Intent,Primary Query,Secondary Queries,Commercial Intent,Geographic Intent,Service,Sector,Historic Winning URL,Proposed Final URL,Search Intent Owner,Supporting Pages,Internal Link Sources,Cannibalisation Risk,Priority,Notes
Brand Homepage,entire facilities management,entire fm, entirefm reviews, entirefm contact,High,National,Integrated FM,All,https://entirefm.com/,/,Homepage,"/about, /contact, /services, /sectors, /entirecafm","All site pages via Header/Footer, Case Studies",Low,P0,Core brand equity anchor
National Facilities Management,facilities management company,facilities management services UK, FM contractors UK, national FM company,High,National,Integrated FM,All,https://petercurrey.wixsite.com/efm-new/facilities-management-services,/facilities-management-services,Services Hub,"/mechanical-electrical, /hard-services, /soft-services, /ppm","/, /about, /fm-london, /sectors",Low,P0,Restored high-performing national commercial hub
M&E Engineering Services,mechanical and electrical services,M&E contractor, commercial electrical contractor, commercial mechanical services,High,National,Hard FM,All,https://petercurrey.wixsite.com/efm-new/mechanical-electrical,/mechanical-electrical,/mechanical-electrical,"/hvac-contractor, /plumbing-gas, /services/me-services/access-control","/, /facilities-management-services, /fm-london, /sectors/industrial",Medium,P0,Historic URL restored as canonical. /services/me-services will 301 here
Commercial HVAC Services,hvac contractor,commercial hvac maintenance, commercial air conditioning contractor, commercial ventilation services,High,National,Hard FM,All,https://petercurrey.wixsite.com/efm-new/hvac-contractor,/hvac-contractor,/hvac-contractor,"/mechanical-electrical, /ppm, /services/hard-services","/, /mechanical-electrical, /sectors/commercial",Low,P0,Historic URL restored; do not bury inside generic M&E
Planned Preventative Maintenance,planned preventative maintenance,PPM facilities management, SFG20 maintenance contractor, commercial PPM schedule,High,National,PPM,All,https://petercurrey.wixsite.com/efm-new/ppm,/ppm,/ppm,"/tools/ppm-schedule-builder, /mechanical-electrical, /hard-services","/, /facilities-management-services, /sectors/manufacturing",Low,P0,Restored clean historic URL /ppm
Hard Facilities Management,hard facilities management,hard fm services, commercial hard services maintenance,High,National,Hard FM,All,https://petercurrey.wixsite.com/efm-new/hard-services,/hard-services,/hard-services,"/mechanical-electrical, /ppm, /plumbing-gas, /fire-emergency-systems","/, /facilities-management-services, /fm-london",Low,P0,Restored clean historic URL /hard-services
Soft Facilities Management,soft facilities management,soft fm services UK, commercial soft services,High,National,Soft FM,All,https://petercurrey.wixsite.com/efm-new/soft-services,/soft-services,/soft-services,"/industrial-cleaning, /commercial-cleaning, /security-services, /grounds-maintenance","/, /facilities-management-services",Low,P0,Restored clean historic URL /soft-services
Industrial Cleaning Specialist,industrial cleaning,industrial cleaning services UK, factory cleaning company, warehouse degreasing,High,National,Soft FM,Industrial,https://petercurrey.wixsite.com/efm-new/industrial-cleaning,/industrial-cleaning,/industrial-cleaning,"/industrial-cleaning/sheffield, /industrial-cleaning/nottingham, /industrial-cleaning/manchester","/, /soft-services, /sectors/industrial",Low,P0,Restored historic URL. Core commercial acquisition driver
Commercial Contract Cleaning,commercial cleaning services,contract cleaning company, office cleaning services UK, commercial contract cleaning,High,National,Soft FM,Commercial,https://petercurrey.wixsite.com/efm-new/cleaning-services,/cleaning-services,/cleaning-services,"/commercial-cleaning/london, /office-cleaning, /window-cleaning","/, /soft-services",Low,P0,Restored clean historic URL
Plumbing & Commercial Gas,commercial plumbing services,commercial gas safe contractor, commercial heating engineer, commercial boiler maintenance,High,National,Hard FM,All,https://petercurrey.wixsite.com/efm-new/plumbing-gas,/plumbing-gas,/plumbing-gas,"/mechanical-electrical, /ppm, /hard-services","/, /hard-services, /mechanical-electrical",Low,P1,Restored clean historic URL
Fire & Life Safety Systems,fire alarm testing FM,emergency systems maintenance, safety critical systems FM, commercial fire compliance,High,National,Hard FM,All,https://petercurrey.wixsite.com/efm-new/fire-emergency-systems,/fire-emergency-systems,/fire-emergency-systems,"/safety-critical-emergency-systems, /mechanical-electrical/emergency-light-testing","/, /hard-services",Low,P0,Preserves G1 URL; G2 URL 301 redirects here
Building Fabric & Repairs,building maintenance services,commercial building fabric maintenance, reactive building repairs UK,High,National,Hard FM,All,https://petercurrey.wixsite.com/efm-new/building-maintenance,/building-maintenance,/building-maintenance,"/hard-services, /ppm, /working-at-heights","/, /hard-services",Low,P1,Restored clean historic URL
Drone & Aerial Inspection,aerial drone building inspection,roof drone survey UK, commercial building thermal imaging inspection,High,National,Specialist,All,https://petercurrey.wixsite.com/efm-new/aerial-drone-building-inspection,/aerial-drone-building-inspection,/aerial-drone-building-inspection,"/building-maintenance, /hard-services","/, /hard-services",Low,P1,Unique differentiator preserved exactly
Mobile Crane Hire,mobile crane hire,contract crane lift UK, bocker crane hire, mobile crane hire sheffield,High,Regional,Specialist,Construction,https://petercurrey.wixstudio.com/efmsut17724/mobile-crane-hire,/mobile-crane-hire,/mobile-crane-hire,"/mobile-crane-hire/sheffield, /mobile-crane-hire/chesterfield, /bocker-crane-hire","/, /services",Low,P1,G2 specialist asset preserved
24/7 Reactive Helpdesk,24/7 reactive FM support,emergency FM helpdesk, out of hours property maintenance UK,High,National,Support,All,https://petercurrey.wixsite.com/efm-new/24-7-fm-support,/24-7-fm-support,/24-7-fm-support,"/helpdesk, /client-login, /ppm","/, /contact, /facilities-management-services",Low,P0,Restored high-value conversion & SLA anchor
